"lineup","slugTeam","seasonPM","seasonSecs","l_id","Season_mins"
"Chris Andersen, Goran Dragic, Henry Walker, Luol Deng, Mario Chalmers","MIA",18,862,231,14
"Chris Kaman, CJ McCollum, Damian Lillard, LaMarcus Aldridge, Nicolas Batum","POR",18,3416,232,56
"Corey Brewer, Jason Terry, Josh Smith, Terrence Jones, Trevor Ariza","HOU",18,3207,233,53
"David Lee, Draymond Green, Justin Holiday, Klay Thompson, Stephen Curry","GSW",18,271,234,4
"DeMarre Carroll, Jeff Teague, Kyle Korver, Mike Scott, Paul Millsap","ATL",18,1541,235,25
"Dirk Nowitzki, Greg Smith, J.J. Barea, Rajon Rondo, Richard Jefferson","DAL",18,2052,236,34
"Ersan Ilyasova, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia","MIL",18,1545,237,25
"Giannis Antetokounmpo, Jerryd Bayless, Khris Middleton, O.J. Mayo, Zaza Pachulia","MIL",18,1844,238,30
"Marc Gasol, Mike Conley, Tayshaun Prince, Tony Allen, Zach Randolph","MEM",18,5192,239,86
"Aaron Brooks, Jimmy Butler, Kirk Hinrich, Nikola Mirotic, Taj Gibson","CHI",17,3322,240,55
"Aaron Brooks, Jimmy Butler, Mike Dunleavy, Nikola Mirotic, Pau Gasol","CHI",17,3115,241,51
"Adreian Payne, Chase Budinger, Justin Hamilton, Lorenzo Brown, Zach LaVine","MIN",17,740,242,12
"Andre Iguodala, David Lee, Leandro Barbosa, Marreese Speights, Stephen Curry","GSW",17,1560,243,26
"Andre Roberson, Reggie Jackson, Russell Westbrook, Serge Ibaka, Steven Adams","OKC",17,2510,244,41
